make,model,avg_price
Hyundai,Elantra Touring,18161.666666666668
Hyundai,Elantra,20437.5
Cadillac,Eldorado,32237.714285714286
Buick,Electra,2000.0
Honda,Element,23145.95238095238
Lotus,Elise,51657.5
Buick,Enclave,45054.666666666664
Buick,Encore,27877.5
Mitsubishi,Endeavor,29689.0
Hyundai,Entourage,26615.0
Buick,Envision,40617.5
GMC,Envoy XL,33925.9375
GMC,Envoy XUV,32947.5
GMC,Envoy,33076.666666666664
Ferrari,Enzo,643330.0
Volkswagen,Eos,38063.57142857143
Suzuki,Equator,24512.608695652172
Chevrolet,Equinox,27577.391304347828
Hyundai,Equus,65041.666666666664
Lexus,ES 250,2000.0
Lexus,ES 300h,41140.0
Lexus,ES 300,31578.333333333332
Lexus,ES 330,32066.666666666668
Lexus,ES 350,38785.0
Cadillac,Escalade ESV,84037.33333333333
Cadillac,Escalade EXT,66572.22222222222
Cadillac,Escalade Hybrid,80522.5
Cadillac,Escalade,81037.33333333333
Ford,Escape Hybrid,32125.0
Ford,Escape,27458.666666666668
Ford,Escort,13867.222222222223
Lotus,Esprit,91291.66666666667
Buick,Estate Wagon,2000.0
Suzuki,Esteem,13295.90322580645
Volkswagen,EuroVan,26950.0
Lotus,Evora 400,91900.0
Lotus,Evora,71776.0
Infiniti,EX35,35191.666666666664
Hyundai,Excel,2000.0
Lotus,Exige,69627.5
Infiniti,EX,37808.333333333336
Ford,Expedition,56883.36111111111
Ford,Explorer Sport Trac,30261.11111111111
Ford,Explorer Sport,24422.222222222223
Ford,Explorer,38451.30434782609
Mitsubishi,Expo,2000.0
Chevrolet,Express Cargo,30235.0
Chevrolet,Express,34804.117647058825
Ford,F-150 Heritage,24145.75
Ford,F-150 SVT Lightning,5353.0
Ford,F-150,40747.04761904762
Ford,F-250,3280.0
Ferrari,F12 Berlinetta,317257.0
Ferrari,F430,205580.23076923078
Ford,Festiva,2000.0
Ferrari,FF,295000.0
Ford,Fiesta,17126.428571428572
Pontiac,Firebird,19644.4
Honda,Fit EV,36625.0
Honda,Fit,18338.333333333332
Ford,Five Hundred,25303.75
Toyota,FJ Cruiser,27865.0
Cadillac,Fleetwood,2052.6666666666665
Ford,Flex,36120.833333333336
Bentley,Flying Spur,206940.0
Ford,Focus RS,36120.0
Ford,Focus ST,24523.333333333332
Ford,Focus,21790.5
Suzuki,Forenza,15575.470588235294
Subaru,Forester,27336.666666666668
Kia,Forte,19895.0
Volkswagen,Fox,2000.0
Scion,FR-S,27517.5
Land Rover,Freelander,27149.444444444445
Ford,Freestar,25788.928571428572
Ford,Freestyle,27838.75
Nissan,Frontier,27461.71052631579
Ford,Fusion Hybrid,29005.5
Ford,Fusion,28807.941176470587
Infiniti,FX35,41750.0
Infiniti,FX45,49900.0
Infiniti,FX50,58700.0
Infiniti,FX,50104.545454545456
Mercedes-Benz,G-Class,146040.0
Infiniti,G Convertible,51750.0
Infiniti,G Coupe,44408.82352941176
Infiniti,G Sedan,38393.47826086957
Infiniti,G20,17608.75
Infiniti,G35,32884.375
Infiniti,G37 Convertible,48733.333333333336
Infiniti,G37 Coupe,40730.0
Infiniti,G37 Sedan,37941.666666666664
Infiniti,G37,36900.0
Pontiac,G3,14335.0
Pontiac,G5,17664.166666666668
Pontiac,G6,25019.772727272728
Genesis,G80,46616.666666666664
Pontiac,G8,30767.0
Mitsubishi,Galant,22899.0
Lamborghini,Gallardo,219844.0
Hyundai,Genesis Coupe,30577.777777777777
Hyundai,Genesis,43306.25
Maserati,Ghibli,75175.0
Rolls-Royce,Ghost Series II,307831.25
Rolls-Royce,Ghost,276525.0
Mercedes-Benz,GL-Class,84225.83333333333
Mercedes-Benz,GLA-Class,38564.444444444445
Mercedes-Benz,GLC-Class,40050.0
Mercedes-Benz,GLE-Class Coupe,88675.0
Mercedes-Benz,GLE-Class,73775.45454545454
Volkswagen,GLI,25538.409090909092
Mercedes-Benz,GLK-Class,38656.666666666664
Mercedes-Benz,GLS-Class,95550.0
Volkswagen,Golf Alltrack,29130.0
Volkswagen,Golf GTI,28791.6
Volkswagen,Golf R,37723.5
Volkswagen,Golf SportWagen,26127.105263157893
Volkswagen,Golf,22647.222222222223
Pontiac,Grand Am,21345.58823529412
Dodge,Grand Caravan,27101.25
Pontiac,Grand Prix,24986.25
Suzuki,Grand Vitara,22762.88888888889
Chrysler,Grand Voyager,2217.5
Plymouth,Grand Voyager,2135.875
Maserati,GranSport,100266.5
Maserati,GranTurismo Convertible,155824.36363636365
Maserati,GranTurismo,145993.0
Lexus,GS 200t,49797.5
Lexus,GS 300,41500.0
Lexus,GS 350,52623.63636363636
Lexus,GS 400,3749.3333333333335
Lexus,GS 430,50575.0
Lexus,GS 450h,61613.333333333336
Lexus,GS 460,54303.333333333336
Lexus,GS F,84440.0
Nissan,GT-R,119030.0
Ford,GT,149995.0
Volkswagen,GTI,28037.894736842107
Pontiac,GTO,31793.333333333332
Lexus,GX 460,56299.166666666664
Lexus,GX 470,47188.333333333336
HUMMER,H3,37749.0
HUMMER,H3T,34629.28571428572
Chevrolet,HHR,20762.5
Toyota,Highlander Hybrid,48939.166666666664
Toyota,Highlander,37219.77272727273
Plymouth,Horizon,2000.0
Honda,HR-V,22315.0
Lexus,HS 250h,37388.333333333336
Lamborghini,Huracan,234475.0
Mitsubishi,i-MiEV,22995.0
Infiniti,I30,11904.333333333334
Infiniti,I35,29483.333333333332
BMW,i3,42700.0
Scion,iA,16250.0
Acura,ILX Hybrid,31750.0
Acura,ILX,30712.5
Chevrolet,Impala Limited,27735.0
Chevrolet,Impala,33558.61111111111
Chrysler,Imperial,2000.0
Subaru,Impreza WRX,30656.11111111111
Subaru,Impreza,21168.529411764706
Scion,iM,18830.0
Honda,Insight,21192.5
Acura,Integra,11768.583333333334
Dodge,Intrepid,23596.25
Oldsmobile,Intrigue,17359.666666666668
Scion,iQ,16168.75
Lexus,IS 200t,37575.0
Lexus,IS 250 C,42943.333333333336
Lexus,IS 250,38511.25
Lexus,IS 300,34369.0
Lexus,IS 350 C,47223.333333333336
Lexus,IS 350,41289.166666666664
Lexus,IS F,62216.666666666664
Infiniti,J30,2027.7142857142858
Volkswagen,Jetta GLI,27350.0
Volkswagen,Jetta Hybrid,28479.375
Volkswagen,Jetta SportWagen,25284.761904761905
Volkswagen,Jetta,23953.524590163935
GMC,Jimmy,11239.935483870968
Dodge,Journey,28165.967741935485
Nissan,Juke,25124.666666666668
Subaru,Justy,2000.0
Infiniti,JX,41950.0
Kia,K900,56040.0
Suzuki,Kizashi,23994.3125
Buick,LaCrosse,37077.0
Mitsubishi,Lancer Evolution,36752.142857142855
Mitsubishi,Lancer Sportback,20045.0
Mitsubishi,Lancer,20756.11111111111
Toyota,Land Cruiser,82768.33333333333
Maybach,Landaulet,1381375.0
Plymouth,Laser,2000.0
Chrysler,Le Baron,2000.0
Pontiac,Le Mans,2000.0
Nissan,Leaf,32423.0
Subaru,Legacy,25370.78947368421
Acura,Legend,2143.5
Buick,LeSabre,29050.0
Maserati,Levante,77500.0
Lexus,LFA,375000.0
Chrysler,LHS,10922.333333333334
Subaru,Loyale,2000.0
Land Rover,LR2,39066.666666666664
Land Rover,LR3,49508.333333333336
Land Rover,LR4,56607.9
Lexus,LS 400,4599.333333333333
Lexus,LS 430,56041.666666666664
Lexus,LS 460,78523.57142857143
Lexus,LS 600h L,120313.33333333333
Lincoln,LS,37970.454545454544
Oldsmobile,LSS,2330.0
Ford,LTD Crown Victoria,2000.0
Buick,Lucerne,34554.04761904762
Chevrolet,Lumina Minivan,2000.0
Chevrolet,Lumina,5406.8
Lexus,LX 450,3974.5
Lexus,LX 470,66671.66666666667
Lexus,LX 570,87146.66666666667
Mercedes-Benz,M-Class,61332.0
BMW,M2,51700.0
Infiniti,M30,2000.0
Infiniti,M35,46175.0
Infiniti,M37,48125.0
BMW,M3,63166.666666666664
BMW,M4 GTS,133205.0
Infiniti,M45,52766.666666666664
BMW,M4,69583.33333333333
Infiniti,M56,59700.0
BMW,M5,93533.33333333333
BMW,M6 Gran Coupe,116800.0
BMW,M6,116150.0
Porsche,Macan,61725.0
Dodge,Magnum,30826.875
Chevrolet,Malibu Classic,19316.666666666668
Chevrolet,Malibu Hybrid,25040.0
Chevrolet,Malibu Limited,24346.25
Chevrolet,Malibu Maxx,21954.090909090908
Chevrolet,Malibu,25704.736842105263
Lincoln,Mark LT,40147.5
Lincoln,Mark VIII,2223.6666666666665
Lincoln,Mark VII,2000.0
Toyota,Matrix,20310.333333333332
Nissan,Maxima,35799.166666666664
Mercedes-Benz,Maybach,190325.0
Mazda,Mazdaspeed 3,23966.666666666668
Mazda,Mazdaspeed 6,28960.0
Mazda,Mazdaspeed MX-5 Miata,26030.0
Mazda,Mazdaspeed Protege,20230.0
BMW,M,47314.0
Acura,MDX,50332.05882352941
Mercedes-Benz,Metris,30725.0
Chevrolet,Metro,3502.1428571428573
Mitsubishi,Mighty Max Pickup,2000.0
Mazda,Millenia,20622.88888888889
Infiniti,M,55135.0
Mitsubishi,Mirage G4,15395.0
Mitsubishi,Mirage,14470.0
Lincoln,MKC,40209.5
Lincoln,MKS,41898.333333333336
Lincoln,MKT,44950.833333333336
Lincoln,MKX,45255.555555555555
Lincoln,MKZ Hybrid,34645.0
Lincoln,MKZ,40691.25
Mercedes-Benz,ML55 AMG,5650.0
Tesla,Model S,85255.55555555556
Dodge,Monaco,2000.0
Pontiac,Montana SV6,26000.0
Pontiac,Montana,27944.117647058825
Chevrolet,Monte Carlo,23868.636363636364
Mitsubishi,Montero Sport,27504.4
Mitsubishi,Montero,35652.333333333336
McLaren,MP4-12C,234200.0
Mazda,MPV,24888.75
Toyota,MR2 Spyder,25395.0
Toyota,MR2,2138.6666666666665
Bentley,Mulsanne,310475.0
Nissan,Murano CrossCabriolet,43691.666666666664
Nissan,Murano,36381.42857142857
Lamborghini,Murcielago,374666.6666666667
Ford,Mustang SVT Cobra,4041.0
Ford,Mustang,32520.625
Mazda,MX-3,2000.0
Mazda,MX-5 Miata,28300.535714285714
Mazda,MX-6,2000.0
Mazda,Navajo,2000.0
Lincoln,Navigator,68917.5
Dodge,Neon,16448.846153846152
Plymouth,Neon,3195.4444444444443
Volkswagen,New Beetle,21973.61111111111
Chrysler,New Yorker,2000.0
Oldsmobile,Ninety-Eight,2000.0
Dodge,Nitro,24705.0
Acura,NSX,102400.0
Nissan,NV200,21436.666666666668
Lexus,NX 200t,36593.333333333336
Lexus,NX 300h,40356.0
Nissan,NX,2000.0
Honda,Odyssey,36879.0
Dodge,Omni,2000.0
Kia,Optima Hybrid,28885.833333333332
Kia,Optima,27312.352941176472
Subaru,Outback,29622.25
Mitsubishi,Outlander Sport,23059.285714285714
Mitsubishi,Outlander,25939.444444444445
Chrysler,Pacifica,31424.41176470588
Porsche,Panamera,123340.90909090909
Buick,Park Avenue,37714.166666666664
Rolls-Royce,Park Ward,261445.0
Toyota,Paseo,2044.5
Volkswagen,Passat,27465.88888888889
Honda,Passport,22185.7
Nissan,Pathfinder,35520.0
Volkswagen,Phaeton,83318.18181818182
Rolls-Royce,Phantom Coupe,440466.6666666667
Rolls-Royce,Phantom Drophead Coupe,482125.0
Rolls-Royce,Phantom,445959.1666666667
Toyota,Pickup,2273.923076923077
Honda,Pilot,36904.166666666664
Mitsubishi,Precis,2000.0
Honda,Prelude,12568.857142857143
Toyota,Previa,2200.1875
Toyota,Prius c,21377.69230769231
Toyota,Prius Prime,29666.666666666668
Toyota,Prius v,28841.25
Toyota,Prius,26908.61111111111
Chevrolet,Prizm,10872.166666666666
Ford,Probe,2000.0
Mazda,Protege5,16675.0
Mazda,Protege,14788.636363636364
